algo_name,seed_nb,step_nb,rewards,test_rewards
CEM_b16_e0.125,3,160000.0,-1245.9241017913732,-1245.9241017913732
CEM_b16_e0.125,3,1440000.0,-1251.4809970292963,-1251.4809970292963
CEM_b16_e0.125,3,2720000.0,-1250.1457684709746,-1250.1457684709746
CEM_b16_e0.125,3,4000000.0,-1292.7067549662283,-1292.7067549662283
CEM_b16_e0.125,3,5280000.0,-1298.3445530759884,-1298.3445530759884
CEM_b16_e0.125,3,6560000.0,-1274.544442862447,-1274.544442862447
CEM_b16_e0.125,3,7840000.0,-1306.6683914798741,-1306.6683914798741
CEM_b16_e0.125,3,9120000.0,-1268.636483457657,-1268.636483457657
CEM_b16_e0.125,3,10400000.0,-1262.5966376534639,-1262.5966376534639
CEM_b16_e0.125,3,11680000.0,-1273.3420212914764,-1273.3420212914764
CEM_b16_e0.125,3,12960000.0,-1253.0974947398713,-1253.0974947398713
CEM_b16_e0.125,3,14240000.0,-1272.9048729994095,-1272.9048729994095
CEM_b16_e0.125,3,15520000.0,-1292.239485942378,-1292.239485942378
CEM_b16_e0.125,3,16800000.0,-1242.7773677494881,-1242.7773677494881
CEM_b16_e0.125,3,18080000.0,-1220.1761483290063,-1220.1761483290063
CEM_b16_e0.125,3,19520000.0,-1291.500908125504,-1291.500908125504
CEM_b16_e0.125,3,20800000.0,-1310.0673096763096,-1310.0673096763096
CEM_b16_e0.125,3,22080000.0,-1255.7492895413845,-1255.7492895413845
CEM_b16_e0.125,3,23360000.0,-1270.6673181463698,-1270.6673181463698
CEM_b16_e0.125,3,24640000.0,-1301.052747392544,-1301.052747392544
CEM_b16_e0.125,3,25920000.0,-1282.575662223232,-1282.575662223232
CEM_b16_e0.125,3,27200000.0,-1256.3152675221506,-1256.3152675221506
CEM_b16_e0.125,3,28480000.0,-1283.065224974211,-1283.065224974211
CEM_b16_e0.125,3,29760000.0,-1264.1955800824276,-1264.1955800824276
CEM_b16_e0.125,3,31040000.0,-1289.818782302538,-1289.818782302538
CEM_b16_e0.125,3,32320000.0,-1265.4851007468292,-1265.4851007468292
CEM_b16_e0.125,3,33600000.0,-1275.2628293143239,-1275.2628293143239
CEM_b16_e0.125,3,34880000.0,-1287.844732905853,-1287.844732905853
CEM_b16_e0.125,3,36160000.0,-1306.0375389195103,-1306.0375389195103
CEM_b16_e0.125,3,37600000.0,-1290.7891242362048,-1290.7891242362048
CEM_b16_e0.125,3,38880000.0,-1255.3619111754049,-1255.3619111754049
CEM_b16_e0.125,3,40160000.0,-1243.8450740481414,-1243.8450740481414
